Hub-Height=100  Timezone=0   ASL-Height(avg. 3km-grid)=0 

 
YYYYMMDD HHMM  M(m/s) D(deg)  T(C)  De(k/m3) PRE(hPa)      RiNumber  RH(%)
20180609 0500    3.0      7    9.6    1.24    1006.0          -0.83   90.2
20180609 0600    3.1    356    9.5    1.24    1005.9          -0.06   93.9
20180609 0700    3.3    350    9.2    1.24    1006.1           0.34  100.0
20180609 0800    3.6      2    9.4    1.24    1006.1           0.25   96.7
20180609 0900    3.2     13    9.4    1.24    1006.2           0.96   92.4
20180609 1000    2.9     28    9.4    1.24    1006.2          -0.03   92.9
20180609 1100    3.0     44    9.4    1.24    1006.2           5.88   91.8
20180609 1200    3.4     60    9.5    1.24    1006.3           6.39   91.3
20180609 1300    3.9     66    9.5    1.24    1006.0           2.14   91.4
20180609 1400    4.4     70    9.5    1.24    1005.7          19.93   88.9
20180609 1500    4.9     75    9.5    1.24    1005.5           6.90   90.1
20180609 1600    5.0     78    9.5    1.24    1005.3           7.08   92.5
20180609 1700    5.0     81    9.5    1.24    1005.1           3.95   93.0
20180609 1800    5.0     86    9.5    1.24    1004.9           1.24   92.6
20180609 1900    4.7     91    9.6    1.24    1004.8           0.74   94.7
20180609 2000    4.3     97    9.7    1.24    1004.9           1.41   92.2
20180609 2100    3.4    103    9.8    1.24    1004.9           1.47   91.4
20180609 2200    2.6    107   10.0    1.24    1004.9           1.33   91.1
20180609 2300    1.8    108   10.2    1.24    1004.9           1.40   89.6
20180610 0000    1.3    153   11.5    1.23    1004.8           3.33   84.7
20180610 0100    0.6    211   11.5    1.23    1004.8           4.67   84.4
20180610 0200    0.4    240   11.3    1.23    1004.5           4.40   85.7
20180610 0300    0.5    191   10.8    1.23    1004.5          12.95   90.2
20180610 0400    0.4    129   10.7    1.23    1004.5          13.14   91.5
20180610 0500    0.5     97   10.6    1.23    1004.4           9.43   91.8
20180610 0600    1.0     87   10.5    1.23    1004.3           7.10   91.1
20180610 0700    1.8     91   10.5    1.23    1004.5          12.74   88.8
20180610 0800    2.7     89   10.5    1.23    1004.6          31.01   82.0
20180610 0900    3.2     84   10.7    1.23    1004.6           6.62   75.1
20180610 1000    4.0     85   10.7    1.23    1004.6           3.00   76.0
20180610 1100    4.9     91   11.0    1.23    1004.5           1.11   77.6
20180610 1200    5.3     93   11.8    1.23    1004.5           0.78   76.6
20180610 1300    6.3     95   12.4    1.23    1004.1           0.80   74.1
20180610 1400    7.5    100   13.1    1.22    1003.8           0.89   70.2
20180610 1500    7.8    105   14.5    1.22    1003.5           0.94   63.5
20180610 1600    7.7    110   16.0    1.21    1003.2           0.77   59.8
20180610 1700    7.5    114   17.0    1.20    1002.9           0.67   64.4
20180610 1800    7.2    119   17.4    1.20    1002.7           0.51   68.5
20180610 1900    5.9    128   17.5    1.20    1002.7           0.37   69.0
20180610 2000    4.1    146   17.3    1.20    1002.8           0.31   71.7
20180610 2100    2.2    158   16.5    1.21    1002.9           0.28   74.0
20180610 2200    1.3    174   16.0    1.21    1003.0           0.37   67.3
20180610 2300    1.5    205   15.6    1.21    1003.1           0.22   63.6
20180611 0000    2.4    238   14.4    1.22    1003.3           0.33   81.9
20180611 0100    3.0    225   13.9    1.22    1003.3           0.30   80.8
20180611 0200    3.4    214   13.5    1.22    1003.2           0.22   79.2
20180611 0300    3.8    207   13.2    1.22    1003.1           0.23   78.5
20180611 0400    3.8    210   12.8    1.22    1003.0           0.28   79.0
20180611 0500    3.3    240   12.0    1.23    1003.0           0.45   84.7
20180611 0600    5.6    240   12.1    1.23    1003.0           0.64   87.1
20180611 0700    3.4    258   12.7    1.22    1003.1           0.15   94.4
20180611 0800    2.0    273   13.5    1.22    1003.2           1.11   93.2
20180611 0900    1.9    343   13.9    1.22    1003.2           1.04   90.7
20180611 1000    3.1      7   13.2    1.22    1003.3           2.13   90.6
20180611 1100    3.5     19   13.3    1.22    1003.4           3.05   90.5
20180611 1200    3.9     33   13.3    1.22    1003.4           5.05   92.1
20180611 1300    4.6     60   12.2    1.23    1003.2           1.39   98.0
20180611 1400    5.3     73   12.3    1.22    1003.0           1.40   97.4
20180611 1500    5.3     80   13.0    1.22    1002.9           2.26   84.6
20180611 1600    4.6     60   13.5    1.22    1003.0           0.53   69.5
20180611 1700    5.7     34   12.9    1.22    1003.3           0.44   74.3
20180611 1800    7.0     17   12.2    1.23    1003.5           2.31   86.0
20180611 1900    7.4     16   11.8    1.23    1003.7           4.83   90.6
20180611 2000    8.1     14   12.3    1.23    1004.1           0.94   83.2
20180611 2100    8.0     11   12.0    1.23    1004.4           0.95   84.9
20180611 2200    6.9      4   11.6    1.23    1004.8           1.16   91.6
20180611 2300    6.5      6   11.4    1.23    1005.0           0.52   95.9
20180612 0000    7.1    357   11.4    1.23    1005.3           0.14   95.4
20180612 0100    6.7    357   11.3    1.23    1005.4           0.03   95.6
20180612 0200    6.7    356   11.3    1.23    1005.4          -0.23   94.9
20180612 0300    7.0    353   11.1    1.23    1005.6          -0.51   95.3
20180612 0400    6.9    347   10.9    1.23    1005.8          -0.10   95.8
20180612 0500    6.8    341   10.6    1.24    1005.9           0.16   94.8
20180612 0600    7.2    339   10.6    1.24    1006.0           0.21   92.8
20180612 0700    7.0    338   10.7    1.24    1006.4           0.11   92.2
20180612 0800    6.7    339   10.8    1.24    1006.7           0.00   91.3
20180612 0900    6.1    342   10.8    1.24    1006.9          -0.10   90.7
20180612 1000    5.1    344   10.8    1.24    1007.2           0.30   88.8
20180612 1100    4.0    351   11.0    1.24    1007.4           0.35   84.6
20180612 1200    3.0      5   11.2    1.24    1007.7           0.42   82.9
20180612 1300    2.5     26   11.3    1.23    1007.6           0.72   81.2
20180612 1400    2.6     53   11.4    1.23    1007.4           1.21   79.9
20180612 1500    3.1     76   11.4    1.23    1007.2           1.68   81.1
20180612 1600    3.9     88   11.5    1.23    1007.0           2.58   77.7
20180612 1700    4.0    104   11.7    1.23    1006.9          22.96   75.5
20180612 1800    4.7    106   12.3    1.23    1006.7           2.25   67.0
20180612 1900    4.5    107   12.6    1.23    1006.6           1.16   63.5
20180612 2000    4.2    120   12.8    1.23    1006.6           1.05   63.9
20180612 2100    4.1    140   13.2    1.23    1006.5           0.60   75.7
20180612 2200    4.3    166   13.5    1.22    1006.4           0.25   76.5
20180612 2300    3.4    182   12.8    1.23    1006.4           0.15   79.8
20180613 0000    7.5    215   12.9    1.23    1006.4           0.44   85.7
20180613 0100    7.7    232   12.7    1.23    1006.1           0.38   92.8
20180613 0200    6.5    247   12.1    1.23    1005.9           0.26   92.4
20180613 0300    6.4    247   11.5    1.23    1005.7           0.27   90.8
20180613 0400    6.5    250   11.0    1.23    1005.5           0.27   89.3
20180613 0500    6.5    255   10.9    1.23    1005.3           0.34   85.9
20180613 0600    6.4    259   11.3    1.23    1005.1           0.51   80.6
20180613 0700    5.5    252   11.7    1.23    1004.9           0.46   77.8
20180613 0800    4.2    248   12.6    1.23    1004.6          -0.60   74.2
20180613 0900    3.6    258   13.4    1.22    1004.2          -0.19   70.7
20180613 1000    3.5    253   14.4    1.22    1003.7          -0.04   68.1
20180613 1100    4.1    243   15.6    1.21    1003.2           0.21   63.9
20180613 1200    2.3    210   15.7    1.21    1002.8           0.30   65.6
20180613 1300    2.4    146   15.7    1.21    1002.1           0.16   64.0
20180613 1400    5.0    225   17.0    1.20    1001.2           0.28   60.9
20180613 1500    7.5    234   18.0    1.20    1000.4          -0.87   56.8
20180613 1600    7.9    235   18.2    1.20     999.8          -0.88   56.4
20180613 1700    8.2    232   18.2    1.20     999.2          -0.70   56.5
20180613 1800    8.3    229   18.2    1.19     998.6          -0.25   57.0
20180613 1900    8.2    224   17.9    1.20     997.9          -0.04   60.3
20180613 2000    7.8    215   17.4    1.20     997.0           0.08   64.0
20180613 2100    8.6    212   16.8    1.20     996.1           0.11   66.9
